City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
563,Elat,IL,79.66,clear sky,29.5581,34.9482,Club Hotel Eilat
569,Marang,MY,84.29,overcast clouds,5.2056,103.2059,DBarakah Homestay
572,Taraz,KZ,79.21,clear sky,42.9,71.3667,Comfort Inn
574,Farmington,US,81.28,overcast clouds,36.7281,-108.2187,Courtyard by Marriott Farmington
577,Smirnykh,RU,80.49,clear sky,49.75,142.8333,Tsentral'naya
583,Boralday,KZ,80.46,scattered clouds,43.3578,76.8594,"Zhetysu, Too Zhetysu"
584,Machico,PT,82.13,few clouds,32.7,-16.7667,Dom Pedro Madeira Hotel
585,Banda Aceh,ID,82.98,overcast clouds,5.5577,95.3222,OYO 884 Rumoh PMI Hotel
591,Alexandria,EG,78.76,scattered clouds,31.2156,29.9553,Royal Crown Hotel
595,Itarema,BR,79.41,overcast clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
597,Karaton,ID,84.42,overcast clouds,-6.3424,106.1045,Parkir Mobil Wisata CAS Water Park
603,Panzhihua,CN,78.21,overcast clouds,26.5851,101.7128,Electric Power Hotel
623,Alanya,TR,79.81,clear sky,36.5438,31.9998,Panorama Hotel
624,Sola,VU,80.64,few clouds,-13.8833,167.55,Leumerus Bungalows
625,Manggar,ID,84.36,broken clouds,-2.8833,108.2667,Guest Hotel
628,Majene,ID,82.9,scattered clouds,-3.5403,118.9707,Kost Putri RABBANI
630,Jiayuguan,CN,83.91,clear sky,39.8167,98.3,Jiugang Hotel - Jiayuguan
631,Ogori,JP,80.55,broken clouds,34.1,131.4,Toyoko INN Shin Yamaguchi eki Shinkansenguchi
645,Wlingi,ID,78.58,broken clouds,-8.0776,112.3311,SPOT ON 1847 Hotel Maya
647,Luwuk,ID,84.72,overcast clouds,-0.9516,122.7875,Hotel Santika Luwuk
648,Vicksburg,US,80.33,clear sky,32.3526,-90.8779,La Quinta Inn & Suites by Wyndham Vicksburg
651,Acajutla,SV,79.57,broken clouds,13.5928,-89.8275,Laureles
654,Oistins,BB,79.52,broken clouds,13.0667,-59.5333,Butterfly Beach Hotel
674,Derzhavinsk,KZ,78.08,clear sky,51.1,66.3167,Ooo.khim Baza
675,Lahat,ID,81.95,overcast clouds,-3.8,103.5333,Hotel Grand Zuri Lahat by ZHM
677,Panaba,MX,78.53,overcast clouds,21.2833,-88.2667,Hotel Don Fernando
683,Muli,MV,81.99,overcast clouds,2.9167,73.5667,Medhufushi Island Resort
