City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
204,Pevek,RU,69.7008,170.3133,36.7,88,96,1.86,overcast clouds
205,Ust-Kulom,RU,61.6864,53.6902,56.01,87,64,4.43,broken clouds
206,Faya,SA,18.3851,42.4509,62.71,78,100,6.98,overcast clouds
207,Tete,MZ,-16.1564,33.5867,62.69,93,20,0.0,few clouds
208,Karratha,AU,-20.7377,116.8463,73.22,32,0,23.35,clear sky
209,Maningrida,AU,-12.0667,134.2667,84.13,53,67,8.5,broken clouds
210,Katsuura,JP,35.1333,140.3,82.92,82,100,12.55,overcast clouds
211,Akranes,IS,64.3218,-22.0749,48.76,85,95,7.27,overcast clouds
212,Tomohon,ID,1.3346,124.8392,81.54,71,72,2.59,broken clouds
213,Faanui,PF,-16.4833,-151.75,78.35,78,38,12.21,light rain
214,Indramayu,ID,-6.3264,108.32,82.56,58,86,11.79,overcast clouds
215,Namatanai,PG,-3.6667,152.4333,82.81,77,29,9.75,light rain
216,Arroyo,ES,41.6096,-4.7969,70.07,48,0,8.05,clear sky
217,Lagunillas,VE,10.1301,-71.2595,77.29,83,88,8.37,overcast clouds
218,Port Blair,IN,11.6667,92.75,84.24,79,40,5.75,scattered clouds
219,Yukhnov,RU,54.7444,35.2297,62.15,99,100,3.56,light rain
220,Tiksi,RU,71.6872,128.8694,50.02,71,54,3.18,broken clouds
221,Vardo,NO,70.3705,31.1107,49.98,87,20,1.14,few clouds
222,San Pedro,PH,14.35,121.0167,89.31,71,40,5.75,scattered clouds
223,Morrisburg,CA,44.9001,-75.1826,74.52,96,67,10.09,light rain
224,Sao Filipe,CV,14.8961,-24.4956,77.68,84,94,10.92,overcast clouds
225,Jalingo,NG,8.8833,11.3667,73.24,92,100,2.68,overcast clouds
226,Novichikha,RU,52.204,81.3877,66.25,53,21,9.17,few clouds
227,Kloulklubed,PW,7.0419,134.2556,82.9,72,53,7.02,broken clouds
228,Hammerfest,NO,70.6634,23.6821,48.65,93,100,9.22,overcast clouds
229,Tula,RU,54.2044,37.6111,65.59,82,12,2.55,few clouds
230,Leiyang,CN,26.4024,112.8591,98.19,45,0,5.03,clear sky
231,Gloversville,US,43.0528,-74.3438,75.36,82,0,6.91,clear sky
232,Bandarbeyla,SO,9.4942,50.8122,77.76,69,93,26.22,overcast clouds
233,Kwakoa,TZ,-3.7667,37.7167,60.44,93,31,1.72,scattered clouds
234,Thompson,CA,55.7435,-97.8558,64.56,52,20,2.3,few clouds
235,San Patricio,US,28.017,-97.5169,85.89,73,0,15.08,clear sky
236,Mpulungu,ZM,-8.7623,31.1141,70.23,57,41,7.54,scattered clouds
237,Lavrentiya,RU,65.5833,-171.0,42.62,88,100,9.35,overcast clouds
238,Husavik,IS,66.0449,-17.3389,45.79,89,60,2.15,broken clouds
239,Sydney,AU,-33.8679,151.2073,67.6,69,20,8.05,few clouds
240,Tabanan,ID,-8.5413,115.1252,82.8,60,84,10.85,broken clouds
241,Hofn,IS,64.2539,-15.2082,50.11,93,100,5.3,overcast clouds
242,Paamiut,GL,61.994,-49.6678,43.5,82,11,3.15,few clouds
243,Nha Trang,VN,12.25,109.1833,87.8,69,6,4.16,clear sky
244,Kargasok,RU,59.0556,80.8572,53.35,97,100,8.08,light rain
245,Kamaishi,JP,39.2667,141.8833,80.06,71,40,2.89,scattered clouds
246,Wadi Musa,JO,30.3222,35.4793,64.08,56,0,2.46,clear sky
247,Saint-Raphael,HT,19.4333,-72.2,72.23,94,100,3.47,overcast clouds
248,Komsomolskiy,UZ,40.4272,71.7189,90.32,17,1,9.22,clear sky
249,Whitehorse,CA,60.7161,-135.0538,56.17,82,75,5.75,broken clouds
250,Grindavik,IS,63.8424,-22.4338,48.67,93,75,5.75,broken clouds
251,Quelimane,MZ,-17.8786,36.8883,66.15,93,0,0.0,clear sky
252,Umirim,BR,-3.6772,-39.3503,73.8,88,84,1.66,broken clouds
253,Rundu,NA,-17.9333,19.7667,54.93,46,0,5.93,clear sky
254,Dewas,IN,22.9667,76.0667,71.78,94,100,9.31,moderate rain
255,Khandyga,RU,62.6667,135.6,80.47,43,3,4.7,clear sky
256,Klaksvik,FO,62.2266,-6.589,49.12,91,87,21.27,overcast clouds
257,Atambua,ID,-9.1061,124.8925,80.11,45,43,0.76,scattered clouds
258,Kidal,ML,18.4411,1.4078,87.57,39,35,5.19,scattered clouds
259,Dehui,CN,44.5333,125.7,77.2,71,18,5.82,few clouds
260,Sorong,ID,-0.8833,131.25,82.24,78,59,4.03,broken clouds
261,Lodingen,NO,68.414,15.9951,50.14,81,100,12.97,overcast clouds
262,Ugoofaaru,MV,5.6667,73.0,81.73,75,84,12.19,broken clouds
263,Nieuw Amsterdam,SR,5.8833,-55.0833,80.02,89,94,7.49,overcast clouds
264,Vao,NC,-22.6667,167.4833,71.76,73,67,12.73,broken clouds
265,Paracuru,BR,-3.41,-39.0306,79.11,78,98,14.9,overcast clouds
266,Padang,ID,-0.9492,100.3543,75.25,93,100,1.81,light rain
267,Khatanga,RU,71.9667,102.5,74.66,62,93,15.66,overcast clouds
268,Sinnamary,GF,5.3833,-52.95,77.61,88,60,8.95,broken clouds
269,Ulladulla,AU,-35.35,150.4667,63.9,57,71,7.52,broken clouds
270,Laguna,US,38.421,-121.4238,94.98,24,0,11.5,clear sky
271,Manglaur,IN,29.8,77.8667,87.26,56,87,15.08,overcast clouds
272,Palmer,US,42.1584,-72.3287,83.57,66,67,1.01,light rain
273,Fredericksburg,US,38.3032,-77.4605,85.35,66,0,6.91,clear sky
274,Chuy,UY,-33.6971,-53.4616,57.58,97,100,5.1,overcast clouds
275,Monrovia,LR,6.3005,-10.7969,75.04,78,100,7.85,overcast clouds
276,Colares,PT,38.7992,-9.4469,66.76,74,0,17.0,clear sky
277,Cidreira,BR,-30.1811,-50.2056,63.73,88,100,5.39,light rain
278,Boysun,UZ,38.2061,67.1986,90.23,14,0,1.43,clear sky
279,Oranjemund,NA,-28.55,16.4333,61.75,32,0,12.64,clear sky
280,Dubna,RU,56.7333,37.1667,62.51,95,29,5.84,scattered clouds
281,Raudeberg,NO,61.9875,5.1352,57.96,91,96,15.7,overcast clouds
282,Ashland,US,40.8167,-82.2665,79.34,92,100,12.01,overcast clouds
283,Samarai,PG,-10.6167,150.6667,79.86,82,59,15.03,broken clouds
284,Dingle,PH,10.9995,122.6711,86.65,71,89,1.12,overcast clouds
285,Pasaco,GT,13.9772,-90.2064,75.29,92,76,3.13,broken clouds
286,Ahipara,NZ,-35.1667,173.1667,63.16,95,97,19.08,overcast clouds
287,Moyo,UG,3.6609,31.7247,63.19,96,49,1.57,scattered clouds
288,Bo Rai,TH,12.5728,102.5371,87.73,65,47,0.65,scattered clouds
289,Marystown,CA,47.1666,-55.1483,65.86,100,95,6.38,overcast clouds
290,Senneterre,CA,48.3835,-77.2328,62.76,98,33,6.55,scattered clouds
291,Hohhot,CN,40.8106,111.6522,79.09,41,0,6.71,clear sky
292,Launceston,AU,-41.45,147.1667,58.15,77,40,5.75,scattered clouds
293,Bayan,CN,46.0833,127.4,75.13,77,99,4.0,overcast clouds
294,Fort Smith,US,35.3859,-94.3986,93.24,48,0,6.91,clear sky
295,Pusad,IN,19.9,77.5833,77.68,82,100,10.98,overcast clouds
296,Lasa,IT,46.6166,10.7002,67.08,92,1,2.21,clear sky
297,Monte Carmelo,BR,-18.7247,-47.4986,62.22,57,5,4.74,clear sky
298,Saint-Gaudens,FR,43.0833,0.6667,68.02,86,72,4.38,broken clouds
299,Ndele,CF,8.4109,20.6473,68.65,95,100,2.98,overcast clouds
300,Margate,GB,51.3813,1.3862,66.31,85,100,3.0,overcast clouds
301,Biak,ID,-0.9131,122.8766,82.06,62,94,6.96,overcast clouds
302,Karasjok,NO,69.4719,25.5112,48.99,90,100,3.42,overcast clouds
303,West Wendover,US,40.7391,-114.0733,88.81,29,0,21.85,clear sky
304,Teya,RU,60.3778,92.6267,67.98,59,70,5.64,broken clouds
305,La Maddalena,IT,41.2142,9.4083,66.36,68,0,12.68,clear sky
306,Saldanha,ZA,-33.0117,17.9442,48.25,59,0,10.09,clear sky
